d,b,t,r_out,n_r,section_param_id,n,mxx,myy,vx,vy,mzz,utilization
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,343286.6792511442,19696023.1294449,-11247699.236119464,235221.85056362482,-75895.89817691265,7264914.816949673,0.7469201623119736
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-202571.71896290057,-15999663.7801922,29126396.907647207,62409.60659271263,-2379.5203849155805,-17555434.52938415,0.7474679024968252
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-453755.2749301309,22000418.871973466,-1793081.9465944804,175402.24320989777,-65577.04302383863,3494817.2372876927,0.7242088579465802
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-610840.9060791576,13897476.453750562,-21613028.56121978,-183677.11258207622,51183.91219824512,-634484.5997318514,0.8115515302438913
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-975999.2341816655,-19600912.1410689,3737155.4242033735,177858.60823793797,209114.7273181313,-7298945.485981243,1.1917986616614982
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-180723.65535576362,-25047130.262191884,-13677688.430255169,-111368.58748721762,-268274.49322437553,-11088684.941599725,1.1761172488978515
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,-276255.0929227676,24099308.192134116,-15065987.998638863,184366.29512840218,188615.67185915285,-7807001.637958152,0.9568976042547649
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,464983.620598387,16398302.025318708,-10464166.853105135,10924.918003630766,-42407.54413889977,-20979729.46584445,0.7678226746499478
110.0662317848794,153.3808764555435,8.766342152886597,13.50775631379264,4,1,974285.3505923164,-16196404.842048224,-22607971.938320752,26125.174239686225,-175965.11002089691,-16279043.566607658,1.1784973234716765
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,935087.0169415143,6344850.639498103,7973677.188958161,-79942.73256020731,-20038.85536067898,1692275.120614376,0.6266646018395978
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,879609.6554389694,-6032843.89228677,-11827163.795713242,71539.89285532816,269844.1193390571,-14989558.618990336,1.0387507204803013
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-39097.21613512642,4211872.207589019,-24114038.238842383,131092.09417003917,-273354.58085293206,-10122008.937462727,1.215329513616669
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,302971.4739182086,-26328761.289323516,-1093703.686655961,-169183.2388351423,-84897.5151757159,-4951095.967187297,0.9505682555964944
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,11058.361962877214,2581777.150662355,-1321448.3245396167,147298.12199288188,-28651.006701470586,-16930711.266625717,0.978430255310982
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-135609.62488217116,-18139528.38205369,721667.8538275398,89312.78866513295,5201.846123390773,12035926.082817256,0.6511916396883893
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,185247.57451220113,-5417254.58752685,1725607.4576541148,-79337.89929563482,-82607.01807528373,14158263.636102296,0.7213951145896446
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-610147.4405973898,-4429173.35636865,-10249127.61718665,49607.65555160801,-84040.98845229225,21123159.132707074,0.8435027294497415
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-113046.67318981304,12555982.14823616,-6656692.574675132,-32270.74397074181,-226420.0110301414,10131216.832519915,0.7161604146272705
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,113477.91652477672,26873168.098953854,-21938149.650353562,68198.50675074774,136507.30695655523,1705791.813747272,0.6515112498012242
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,590551.970502605,13123168.831564795,-26130267.21822104,166254.85138155124,127468.11809702264,-11507207.312273547,0.9938882742144857
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-802476.8375281077,-14468738.53741641,-566193.9705763459,264511.9024508872,-95962.51151912723,-7036391.531683743,1.3047326831081807
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-164827.3626901236,22834357.853838954,-1065805.2407787852,-266467.54300624575,96791.64374087169,17165493.98196329,1.501845853556736
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-660782.9647656562,15171888.299727742,14919429.395651631,-180306.61137747933,-268702.7052683744,6815180.890024871,1.1512976406585074
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,308302.51184249436,25061659.74789339,-15271100.872480592,-237638.60236652568,-138059.1725434609,-5608955.074140046,1.2125885767526603
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,580258.2912944178,26212464.503719863,10982532.40621344,237077.03503681795,275307.3804610468,17906062.70981554,1.803096971415287
142.0605273693364,98.17409317937411,11.285003817255788,10.351787022409543,4,2,-515744.44899352326,-14268068.558715902,-12824666.729541298,-198603.28093252727,186628.93554814416,-18887744.204576768,1.3407862253797818
